РЕЕСТР КРУПНЕЙШИХ ПРЕДПРИЯТИЙ РОССИИ (>10 МЛРД РУБЛЕЙ) С РАСШИРЕННЫМ IT & HIGH-TECH БЛОКОМ
===================================================================================================================
Глубокая детализация: BigTech, Системная интеграция, Разработка ПО, Кибербезопасность,
Микроэлектроника, Дата-центры, EdTech, FinTech, Телеком, ТЭК, Металлургия и Тяжелая индустрия.
===================================================================================================================

00001. [BigTech / Интернет-холдинг] МКПАО «Яндекс» | Головная структура: Головная IT-корпорация | Регион/Охват: РФ / Москва
00002. [IT / Сервисы / Экосистема] ООО «Яндекс» (Поисковый портал, Главная страница, Браузер) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00003. [IT / Сервисы / Экосистема] ООО «Яндекс.Такси» (Yandex Go, Такси, Доставка) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00004. [IT / Сервисы / Экосистема] ООО «Яндекс.Маркет» (Маркетплейс, Фулфилмент, Логистика) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00005. [IT / Сервисы / Экосистема] ООО «Яндекс.Еда» & Delivery Club (FoodTech агрегатор) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00006. [IT / Сервисы / Экосистема] ООО «Яндекс.Лавка» (Сеть дарксторов экспресс-доставки продуктов) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00007. [IT / Сервисы / Экосистема] ООО «Яндекс.Драйв» (Федеральный каршеринг-сервис) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00008. [IT / Сервисы / Экосистема] ООО «Кинопоиск» (Онлайн-кинотеатр, Медиабаза) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00009. [IT / Сервисы / Экосистема] ООО «Яндекс Музыка» (Стриминговый аудио-сервис) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00010. [IT / Сервисы / Экосистема] ООО «Яндекс.Облако» (Yandex Cloud - Cloud платформа) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00011. [IT / Сервисы / Экосистема] ООО «Яндекс Практикум» (EdTech платформа онлайн-образования) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00012. [IT / Сервисы / Экосистема] ООО «Яндекс.Доставка» (B2B логистика и курьерские службы) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00013. [IT / Сервисы / Экосистема] ООО «Яндекс.Карты» и Геосервисы (Навигатор, Пробки, Справочник) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00014. [IT / Сервисы / Экосистема] ООО «Авто.ру» (Автомобильный маркетплейс и классифайд) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00015. [IT / Сервисы / Экосистема] ООО «Яндекс Недвижимость» и Яндекс Аренда | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00016. [IT / Сервисы / Экосистема] ООО «Яндекс Путешествия» (Отели, Авиабилеты, Поезда) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00017. [IT / Сервисы / Экосистема] ООО «Яндекс.Директ» и Рекламная сеть Яндекса (AdTech) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00018. [IT / Сервисы / Экосистема] ООО «Яндекс Крауд» (Аутсорсинг и модерация данных) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00019. [IT / Сервисы / Экосистема] ООО «Яндекс Беспилотные Технологии» (SDG - Autonomous Driving) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00020. [IT / Сервисы / Экосистема] ООО «Яндекс Роботикс» (Складская робототехника и роверы) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00021. [IT / Сервисы / Экосистема] АО «Яндекс Банк» (Fintech, Сплит, Сейвы, Карты Плюс) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00022. [IT / Сервисы / Экосистема] ООО «Яндекс Плюс» (Единая экосистемная подписка) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00023. [IT / Сервисы / Экосистема] ООО «Умный Дом Яндекса» (Умные колонки с Алисой, ТВ Станции, IoT) | Головная структура: МКПАО «Яндекс» | Регион/Охват: РФ
00024. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Москва) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Москва
00025. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Санкт-Петербург) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Санкт-Петербург
00026. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Московская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Московская область
00027. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Ленинградская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Ленинградская область
00028. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Свердловская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Свердловская область
00029. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Краснодарский край) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Краснодарский край
00030. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Республика Татарстан) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Республика Татарстан
00031. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Республика Башкортостан) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Республика Башкортостан
00032. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Нижегородская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Нижегородская область
00033. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Ростовская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Ростовская область
00034. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Самарская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Самарская область
00035. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Новосибирская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Новосибирская область
00036. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Челябинская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Челябинская область
00037. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Красноярский край) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Красноярский край
00038. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Кемеровская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Кемеровская область
00039. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Пермский край) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Пермский край
00040. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Волгоградская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Волгоградская область
00041. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Саратовская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Саратовская область
00042. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Омская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Омская область
00043. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Алтайский край) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Алтайский край
00044. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Воронежская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Воронежская область
00045. [IT-инфраструктура и логистика] Региональный хаб разработки и логистики Яндекса (Оренбургская область) | Головная структура: МКПАО «Яндекс» | Регион/Охват: Оренбургская область
